done	part of speech	phonemes	romanisation	definition	keywords	tags	gloss
TRUE	noun (inanimate)	ɸɾyː.ne	fruune	backup, replacement, substitute, stand-in	backup, replacement, substitute, stand-in		
TRUE	interjection	ɸy	fu	expression of disgust or refusal: ugh, eugh, ew; pff	ugh, eugh, ew, pff, pfft		
TRUE	noun (inanimate)	ɸyː.ni	fuuni	wheel, gear, cog, spinner, any disk-shape on an axle; tracks (of a vehicle)	wheel, gear, cog, disk, track		
TRUE	adjective	ɸyː.ɲø̃	fuunnó	grippy, high-friction	grippy, friction		
TRUE	noun (inanimate)	ɸyː.sa	fuusa	air, gas mixture that can be breathed, the stuff of a habitable atmosphere; prototype: fresh and gently flowing	air		air
TRUE	noun (animate)	ɸyɕeː	fuxee	contemporary, generation-mate, someone whose childhood overlapped with someone else's, someone of approximately the same age as the point of reference; (approximately) cousin	contemporary, generation-mate, cousin		
TRUE	particle	ɸə	fy	used like a single opening parenthesis to mark parsing order in careful speech; fy yf 'I'm speechless', 'nothing to comment', 'never mind'	untranslatable, parenthesis		
TRUE	noun (inanimate)	ɸə̃j.ʎøː	fýilloo	hut, shed, tent	hut, shed, tent		
TRUE	verb (transitive)	ɸə.ja	fyja	greet, welcome (express solidarity with, regardless of who travels to whom)	greet, welcome		
TRUE	noun (inanimate)	ɸəs	fys	body (whole, of lifeform, regardless of whether alive)	body		
TRUE	verb (transitive)	ɸə̃.si	fýsi	skip, ignore, pass by, be oblivious of	skip, ignore, pass		
TRUE	conjunction (phrase)	ɸə̃w	fýu	but, and yet, however also (implies the joined phrases oppose each other or their presence is negatively correlated)	but, however		
TRUE	noun (inanimate)	ɸə.ɕø̃ː	fyxóo	a type of fibrous plant whose leaves have harmless vestigial stinger hairs; (name) Ramie	ramie	names, plants	
TRUE	verb (intransitive)	ɸəːj	fyyi	(archaic) graze a straight line, usually side by side with the whole herd; (modern) read digital memory, load, parse; make progress	graze, read, load, parse, progress		
TRUE	noun (animate)	ɸəː.jø̃	fyyjó	being, any lifeform, organism (explicitly neutral regarding sapience)	being, lifeform, organism		
TRUE	verb (transitive)	ɸəːʎ.ʙi	fyyllvi	relieve, take over from, liberate	relieve, liberate, take over		
TRUE	noun (inanimate)	ɸəːl.na	fyylna	core (innermost part of anything); pit, (large round) seed	core, pit, seed		
TRUE	noun (inanimate)	ɸəː.tø	fyyto	cup, glass, bowl, small open-topped fluid-tight dish	cup, glass, bowl, dish		
TRUE	noun (inanimate)	ɸəː.weɾ	fyywer	galaxy	galaxy		
TRUE	noun (inanimate)	ɸəː.weɾ.mãwɾ	Fyywermáur	(place name) Gloaming Galaxy (compound of fyywer 'galaxy' + máur 'fade, taper')	gloaming galaxy	placenames	
TRUE	noun (inanimate)	haː	haa	the phoneme /h/ and the matching letter	/h/, h	letters	
TRUE	adjective	haːɸ	haaf	bad, negative, unpleasant	bad, negative, unpleasant		
TRUE	verb (transitive)	haːɸ.teː	haaftee	discuss, chat, talk, converse, have an informal real-time exchange about (absolutive is topic)	discuss, chat, talk, converse, conversation		
TRUE	verb (transitive)	haː.maɾ	haamar	explain (create an explanation of), account for, make expressible as consequence of simpler parts	explain, account		
TRUE	noun (inanimate)	haː.mẽ	haamé	flower-bud	bud		
TRUE	verb (transitive)	haː.ɲy	haannu	calm, soothe, comfort	calm, soothe, comfort		
TRUE	verb (transitive)	haː.tɬəɕ	haatlyx	charge into, rush at, headbutt	charge, rush, headbutt, attack		
TRUE	noun (inanimate)	ha.ci	haci	any of a family of flowers with spherical floral heads and intense yellow coloration; (name) Taget	taget	names, plants	
TRUE	adverb	ha.cʎa.maː	haclamaa	by oneself, independently, unaided, organically, naturally; (computing) natively	by oneself, independently, unaided, organically, naturally		
TRUE	adjective	ha.la.wa	halawa	lenient, merciful, weak (of conjecture), which makes claims about a small set of situations; receptive, open	lenient, merciful, weak, receptive, open		
TRUE	noun (animate)	hã.sy	hásu	swarm, flock, infestation, biofilm, growth	swarm, flock, infestation, biofilm, growth		
TRUE	noun (inanimate)	ha.tɬe	hatle	vacuum of space, places outside the ship, exterior, outdoors	vacuum, space, outside, exterior, outdoors		
TRUE	noun (inanimate)	ha.tɾa.jẽː	hatrajée	central fog, dense atmosphere in the hollow of a toroidal planet	fog, atmosphere, hollow		
TRUE	noun (inanimate)	ha.tɾa.jø.fø	Hatrajofo	(place name) Dark Bramble	Dark Bramble	placenames	
TRUE	interjection	haw	hau	ow, ouch, oof (cry of pain)	ow, ouch, oof		
TRUE	noun (inanimate)	hãw	háu	density, degree of being packed close together	density, dense, packed		
TRUE	verb (transitive)	haw.ɬi	hauhli	dab, tint (fur), draw (on flexible surface)	dab, tint, draw		
TRUE	noun (inanimate)	haw.ɕi	hauxi	sacrifice, cost, price, tradeoff, that which is rendered inaccessible by choosing some course of action; (archaic) debris, jettisoned rocket part	loss, sacrifice, cost, price, tradeoff		
TRUE	noun (inanimate)	ha.wa	hawa	fungus, mold, any of many cooperating microscopic lifeforms that build tendril networks	fungus, mold		
TRUE	determiner	hẽ	hé	determiner deictic, far from speaker and listener	that		
TRUE	verb (transitive)	he.ca	heca	{experiencer} can happen, be possible, viable, unblocked; {agent} enable, make possible, unblock {experiencer}	can, possible, viable, unblocked, enable, possible, unblock		
TRUE	verb (transitive)	heːl	heel	elaborate, expand on, add detail to description of	elaborate, expand, detail		
TRUE	noun (inanimate)	heːl.nø̃	heelnó	room, interior space	room, interior		
TRUE	noun (inanimate)	hẽɸ	héf	place, spot (in general, in any space)	place, spot		
TRUE	noun (inanimate)	he.ɸaj	hefai	species, clade, population	species, clade, population		
TRUE	noun (inanimate)	heɬ	hehl	any of a family of large tough trees that grow from a large spherical seed; (name) Quercus	quercus	names, plants	
TRUE	noun (animate)	hej‍.‍wa	hei‍‍wa	grandchild	grandchild	family	
TRUE	adjective	hej.ɕəj	heixyi	basic, elementary, fundamental, primordial, foundational, underlying	basic, elementary, fundamental, primordial, foundational, underlying		
TRUE	verb (transitive)	he.le	hele	yield, produce, grow (especially as part of oneself in a repeatable way, like a tree grows fruit and a Nomai grows fur)	yield, produce, grow		
TRUE	noun (animate)	he.lẽɾ	helér	cohabitant, roommate, anyone who shares a sleeping space on the regular	cohabitant, roommate		
TRUE	noun (inanimate)	hẽ.ʎy	héllu	limb, extremity, appendage	limb, extremity, appendage		
TRUE	verb (transitive)	hẽ.mi	hémi	identify, start to perceive as its own thing, apply a label to, conceptualise	identify, conceptualise		
TRUE	noun (animate)	he.pə.sãː	hepysáa	microbe, any of many clades of tiny lifeforms	microbe		
TRUE	adverb	hew	heu	only, solely, nothing but (follows what it modifies)	only, solely, nothing but		
TRUE	verb (transitive)	he.ʙes	heves	insult, bully, do wrong to	insult, bully, wrong		
TRUE	noun (inanimate)	hi.ɸy	hifu	something under compression: spring, reservoir, battery (in a broad sense)	spring, reservoir, battery		
TRUE	adverb	hiː	hii	fully, completely, entirely, in all relevant ways	fully, completely, entirely		
TRUE	noun (inanimate)	hi.jəɸ	hijyf	a type of small decorative tree with a dense tuft of leaves, (name) Kousa	kousa	names, plants	
TRUE	noun (animate)	hi.lẽːs	hilées	bird, bat, any of a diverse clade of winged creatures from the Nomai homeworld	bird, bat		
TRUE	noun (inanimate)	hi.ni	hini	(road) sign, label, header	sign, label, header		
TRUE	pronoun	hi.ɾẽ	hiré	that (thing, being, or situation far from both speaker and listener, or mentioned by a third party)	that		
TRUE	noun (animate)	hi.ʙy.nas	hivunas	observatory, site for taking readings of outside world	observatory		
TRUE	noun (inanimate)	hiɕ	hix	tendon, connective tissue	tendon, connective tissue		
TRUE	interjection	ɬãːj	hláai	expression of interest or curiosity: ooh, huh, hmm	oo, ooh, huh, hmm		
TRUE	adjective	ɬaːs	hlaas	good, fair, moral, right, deserved	good, fair, moral, right, deserved		
TRUE	interjection	ɬaːw	hlaau	argh, augh (instinctive cry of distress, influenced by an obsolete noun meaning 'drought')	argh, augh		
TRUE	adjective	ɬa.bɾeː.mø	hlabreemo	derived, abstracted, emergent, high-level, behaving differently from its underlying mechanisms; (of person) trained, drilled, with new instincts; traumatised	derived, abstracted, trained, drilled, traumatised		
TRUE	noun (animate)	ɬas	hlas	town, city, settlement	town, city, settlement		
TRUE	noun (inanimate)	ɬas.mi.cø	Hlasmico	(place name) the Sunless City ('town' + 'shaded region')	Sunless City	placenames	
TRUE	noun (inanimate)	ɬas.ʙə̃ːɕ	Hlasvýyx	(place name) the Hanging City (compound of hlas 'town' +  výyx 'airborne root')	Hanging City	placenames	
TRUE	noun (inanimate)	ɬe	hle	the phoneme /ɬ/ and the matching letter	/ɬ/, ɬ, hl	letters	
TRUE	numeral	ɬeː	hlee	three (connective form)	three		
TRUE	noun (inanimate)	ɬeːɸy ma.da.ʙeː	hleefu madavee	the Nomai language (literally "the language from the vessels")	Nomai language		
TRUE	interjection	ɬẽː.hø̃ː	hléehóo	a type of laughter (unrestrained: "hee-haw")	laugh, laughter		
TRUE	noun (inanimate)	ɬeːw	hleeu	language (sign system with recursion and other technical features)	language		
TRUE	numeral	ɬeɸ	hlef	three	three		
TRUE	noun (inanimate)	ɬi.bøjɾ	hliboir	any of a diverse family of bushes with sweet nectar; (name) Escall	escall	names, plants	
TRUE	adjective	ɬiː	hlii	good (pleasant, nice)	good, pleasant, nice		
TRUE	verb (transitive)	ɬiːɬ	hliihl	cut, chop, slice; divide, separate, split	cut, chop, slice, divide, separate, split		
TRUE	noun (inanimate)	ɬi.ne	hline	picture, image, photo (visual record, chiefly detailed and realistic)	picture, image, photo		
TRUE	adjective	ɬø.ɸe	hlofe	fluffy, fuzzy, wooly; real, prototypical, true	fluffy, fuzzy, wooly, real, prototypical, true		
TRUE	noun (inanimate)	ɬø̃j	hlói	backside, far side, other side, place behind something (met later in direction of travel); after, later, in (a period of time)	back, backside, far, behind, other, other side, after, later, in		
TRUE	noun (inanimate)	ɬø.pja	hlopja	nonfunctional remnant, wreck, derelict; carcass; fossil	remnant, wreck, derelict, carcass, fossil		
TRUE	adverb	ɬøs	hlos	vertically, upright, standing, along a plumb line	vertical, vertically, upright	spatial	
TRUE	noun (animate)	ɬø.tə	hloty	projection, volumetric display, spatial visualisation (tangible but usually colourless); (archaic) kinetic sculpture, statue that changes pose by itself (used for decoration and to teach gesture-based mnemonics)	projection, volumetric display		
TRUE	noun (animate)	ɬyː	hluu	station, outpost (originally a group of Nomai tasked with knowing the state of a particular place or resource)	station, outpost		
TRUE	verb (transitive)	ɬyː.bə̃ː	hluubýy	hide away, lock away, make private, steal	hide, lock, private, steal		
TRUE	noun (animate)	ɬyːɕ də.ɾi.ʙyː.mã	hluux dyrivuumá	the Sun Station	sun station		
TRUE	noun (animate)	ɬyːɕ dəː.li.ldi cə̃.lə̃ɾ 	hluux dyylildi cýlýr 	the White Hole Station	white hole station		
TRUE	verb (intransitive)	ɬə	hly	be (somewhere stably or persistently), occupy, exist, manifest (prototype: object held firmly in a hand)	be, occupy, exist, manifest		
TRUE	verb (intransitive)	ɬə̃ːs.pe	hlýyspe	{experiencer} disgust, revolt, repel {observer}	disgust, revolt, repel		
TRUE	pronoun	hø̃	hó	the two, the other ones, two inanimate things contrasted with the one(s) in focus, 3D.OBV.INAN, third-person obviative inanimate dual	they, them		
TRUE	noun (inanimate)	hø.cøɾ	hocor	mealtime, occasion to eat (more numerous than human meals, since Nomai tend to snack all day)	meal, mealtime, snack		
TRUE	particle	høj	hoi	marks the start of a thought experiment or tentatively entertained counterfactual: suppose that, imagine that, what if	suppose, imagine, what if		
TRUE	adjective	hø̃.leː	hólee	solid (phase of matter)	solid		
TRUE	noun (inanimate)	hø.mbaɕ	hombax	a type of slow-growing tree whose individuals have one sex each; (name) Cycad	cycad	names, plants	
TRUE	noun (inanimate)	hø.my.si	homusi	internal organ, gland (anything vaguely like a human kidney or pancreas)	organ, gland		
TRUE	noun (animate)	hø.ɲcẽːj	honcéei	arthropod, arachnid, spider, crab, crustacean, any of a large clade of animals with shells and many segmented limbs	arthropod, arachnid, spider, crab, crustacean		
TRUE	verb (intransitive)	hø̃ː.cʎə̃ː	hóoclýy	be pregnant; (of machine) carry another similar machine inside	pregnant		
TRUE	adjective	høːs	hoos	dry, without humidity	dry		
TRUE	noun (inanimate)	hø̃ːs.cyː	hóoscuu	brute, tedious, or inefficient solution	inefficient solution		
TRUE	noun (inanimate)	høː.sə̃ː	hoosýy	molar tooth, any crushing tooth	molar, tooth		
TRUE	verb (transitive)	hø̃.pø̃ɬ	hópóhl	kick, stomp, tread on; (generally) hit, deal damage to (Nomai hands can't form a solid fist)	kick, stomp, hit		
TRUE	adjective	hy.dãː.tiɾ	hudáatir	colour that contains red-infrared and cyan but not yellow or green, "infra-purple"	purple		
TRUE	adjective	hy.ɸy	hufu	(of environment) harsh, difficult, inhospitable	harsh, difficult, inhospitable		
TRUE	adjective	hyl.də̃	huldý	doing okay, medium-healthy, average thriving vs struggling, okay, fine, satisfactory	alright, okay, fine, satisfactory, so-so		
TRUE	verb (intransitive)	hy.my	humu	cling, hang, swing (what children do on adults' backs, and what fleas do on fur)	cling, hang		
TRUE	noun (inanimate)	hy.tã	hutá	door, flap, hatch, shutter (anything suited for blocking a passage by stretching across it)	door, flap, hatch, shutter		
TRUE	noun (inanimate)	hyːl.ciː	huulcii	pelvis, hips, pelvic girdle, topmost joints of the legs and everything between; butt	pelvis, hips, butt		
TRUE	noun (animate)	hy.waj	huwai	memory, legacy, manifestation, non-physical way for person or principle to have influence through collective action of others	memory, legacy		
TRUE	noun (inanimate)	hy.ɕa	huxa	sand	sand		sand
TRUE	conjunction (phrase)	hə	hy	and, in addition, plus (neutral or uncorrelated)	and, in addition, plus		
TRUE	noun (animate)	həɬ	hyhl	circular arrangement of a herd, strongest individuals circling on the outside; vortex; clockface gauge; (solar or planetary) system	spin, vortex, clockface, gauge, solar system, planetary system, system		
TRUE	noun (inanimate)	hə.hø	hyho	piece of clothing or wearable equipment	clothing, equipment		
TRUE	adjective	hə̃ʎ.bi	hýllbi	sour (one of five basic tastes)	sour		
TRUE	noun (animate)	hə.ɾi	hyri	sibling	sibling		
TRUE	noun (inanimate)	həs.je	hysje	womb, uterus	womb, uterus		
TRUE	noun (inanimate)	hə̃s.ly	hýslu	soup, stew	soup, stew		
TRUE	adjective	hə.tɾi.leɬ	hytrilehl	rigid, formulaic, regimented, standardised, formal	rigid, formulaic, regimented, standardised, formal		
TRUE	noun (animate)	hə̃‍.‍wãj	hý‍‍wái	great-grandfather (father of any grandparent)	great-grandfather, great grandfather, grandfather	family	
TRUE	noun (inanimate)	hə.wẽ	hywé	honestly, frankly, notably directly, in explicit terms	honestly, directly, frankly, explicitly		
TRUE	interjection	hə̃ː	hýy	um, uh (filler; used when hesitating, processing, taking in new information)	um, uh		hmm
TRUE	noun (inanimate)	həː.dã	hyydá	graft (piece of plant cut and fused to new host); module, core, plug-in (swappable device)	graft, module, core, plug-in, plugin		
TRUE	noun (inanimate)	həː.dã saɾ.ti.lə̃ɾ	hyydá sartilýr	warp core (literally 'root-propagation-causing graft')	warp core		
TRUE	interjection	hə̃ːɸ	hýyf	(onomatopoeia) sustained, chaotic, low-pitched sound: whoosh	whoosh		
TRUE	noun (inanimate)	həːj.pi	hyyipi	a type of drought-resistant tree with durable dark wood; (name) Neem	neem	names, plants	
TRUE	noun (animate)	həː‍.neɬ‍	hyy‍nehl‍	granddaughter (daughter's daughter)	granddaughter	family	
TRUE	verb (transitive)	i.ci	ici	pain, hurt, make suffer	pain, hurt, suffer		
TRUE	noun (inanimate)	i.cyːɬ	icuuhl	plank, bar, beam, any cuboidal component	plank, bar, beam		
TRUE	adjective	iɬ.wa	ihlwa	(vulgar) based on faulty theory, dead-end, fundamentally unoptimisable; useless, destroyed, fucked	faulty, dead-end, dead end, destroyed		
TRUE	noun (inanimate)	iː.pã	iipá	outfit, suit, clothes	outfit, suit, clothes		
TRUE	verb (transitive)	iː.ɾeː	iiree	(archaic) insert, weave, route (something into a tight place, especially thread within cloth); interconnect, link up (irrigation canals, later all mechanisms); (modern) solve (puzzle), derive (equation); advance, achieve, succeed, win, prevail	insert, route, weave, plumb, interconnect, link, solve, derive, advance, achieve, succeed, win, prevail		
TRUE	noun (inanimate)	iːs	iis	the phoneme /iː/ and the matching letter	/iː/, iː, ii	letters	
TRUE	adjective	i.jaw.dɾaː	ijaudraa	dramatic, grandiose, high-stakes	dramatic, grandiose, high-stakes		
TRUE	noun (inanimate)	il	il	the phoneme /i/ and the matching letter	/i/, i	letters	
TRUE	verb (intransitive)	i.mbã	imbá	(of device) work, function, operate, serve its purpose; (archaic) digest	work, function, operate, serve, digest		
TRUE	noun (inanimate)	i.ɲcyː	incuu	history, trajectory, time-series data that explains some outcome, how things went	history, trajectory, time-series, time series		
TRUE	verb (transitive)	i.ɲyj	innui	{agent} give birth to {experiencer}, {experiencer} be born from {agent}	birth, born, bear		
TRUE	adverb	i.ɾaj	irai	wildly, erratically, frantically, at random, with extra movement or no pattern	wildly, wild, erratically, erratic, random		
TRUE	noun (inanimate)	i.syːɬ	isuuhl	area, region, set of places all sharing the same outer landmarks; (archaic) pasture, plain, valley-slope (one valley is two of these)	area, region, pasture, plain, valley, slope		
TRUE	noun (inanimate)	i.syːɬ.ɲø̃ːs	Isuuhlnnóos	(place name) Timber Hearth (compound of isuuhl 'pasture, plain' + nóos 'spring, geyser')	timber hearth	placenames	
TRUE	adverb	i.tẽ	ité	maximally, to the greatest extent possible	maximally, most		
TRUE	verb (transitive)	i.tɬaː	itlaa	mount, install, hang, fix	mount, install, hang, fix		
TRUE	noun (animate)	i.tɬy	itlu	sickness, disease, infection	sickness, illness, disease, infection, infected		
TRUE	verb (intransitive)	i.ʙy	ivu	laugh (undergo a bodily reaction to harmless surprise or release of tension)	laugh		
TRUE	pronoun	ja	ja	refers to the observer of the (innermost) clause it's in	untranslatable		
TRUE	noun (inanimate)	jaː	jaa	the phoneme /j/ and the matching letter	/j/, j	letters	
TRUE	noun (animate)	jãː‍.‍jə̃	jáa‍‍jý	great-grandparent	great-grandparent, great grandparent, grandparent	family	
TRUE	verb (intransitive)	jã.hø̃	jáhó	operate above sustainable capacity, have a bout of daring or chaos, wing it; (archaic) be in the mountains, travel by mountain pass	mountains, above, daring, chaos, wing it		
TRUE	noun (inanimate)	ja.pɾyː	japruu	trend, fad, fashion, zeitgeist; (archaic) patch of vegetation suitable for unidirectional grazing by a spread-out herd	trend, fad, fashion, zeitgeist		
TRUE	noun (inanimate)	jaw.mə	jaumy	time (within a cycle), season, era (used in expressions like "before my time")	time, season, era, age		
TRUE	verb (intransitive)	ja.wãː	jawáa	breathe, take breaths (one such action is conceptualised as in -> out -> rest)	breathe, breath		
TRUE	noun (inanimate)	jẽːʎ	jéell	seed, spore	seed, spore		
TRUE	noun (inanimate)	je.ɸeʎ	jefell	region of substance with strong movement and a boundary layer: storm, churn, whirl, cyclone	storm, churn, whirl, cyclone		
TRUE	numeral	je.hã	jehá	one-thirthysixth (6^-2)	6^-2		
TRUE	verb (transitive)	je.hãː	jeháa	annoy, irritate, bother	annoy, irritate, bother		
TRUE	noun (inanimate)	jel	jel	tree (chiefly taller than person height and broad-leaved)	tree		
TRUE	verb (transitive)	jø	jo	{agent} move {experiencer} along surface or against friction: push, tow, drag	move, push, tow, drag		
TRUE	noun (inanimate)	jø.ja	joja	voice, vocalisation, call	voice, vocalisation, call		
TRUE	noun (inanimate)	jø.lø	jolo	base, foundation, holder, pedestal	base, foundation, holder, pedestal		
TRUE	verb (transitive)	jø.mãːj	jomáai	activate, spin up, boot up, make ready to operate	activate, boot		
TRUE	adjective	jø̃.nyːs	jónuus	mid-tone, medium amount of bright/dark	mid-tone, medium bright, medium dark		
TRUE	conjunction (clause)	jø̃ː	jóo	so finally, in such a way that ultimately	finally, ultimately, resulting		
TRUE	noun (inanimate)	jøː.bø	joobo	pillow, cushion, pad	pillow, custion, pad		
TRUE	noun (inanimate)	jø̃ːl	jóol	right side, right flank	right		
TRUE	noun (inanimate)	jø.pi	jopi	view, vista, scenery	view, vista, scenery		
TRUE	verb (transitive)	jø.pyl	jopul	depress, make listless, make apathetic	depress, paralyse, listless, apathetic, depressed		
TRUE	noun (inanimate)	jø.ɾẽ	joré	dirt, soil, mulch	dirt, soil, mulch		
TRUE	noun (inanimate)	jø.ɾə.cø	joryco	hydrogen (element)	hydrogen		
TRUE	noun (inanimate)	jø̃.ʙə̃ː	jóvýy	ear-hole, internal ear, ear canal	ear, ear hole, ear canal		
TRUE	noun (inanimate)	jy.ɸis	jufis	triangle (arbitrary shape, not necessarily equilateral or right-angled)	triangle		
TRUE	adjective	jys.ci	jusci	dirty, stained, contaminated; impure, dilute (chemical)	dirty, stained		
TRUE	interjection	jyː	juu	used to marvel at something or vocalise a dawning realisation: juu tréeu how curious (this inanimate thing is)! juu erxiilix what an elegant solution!	how, what, such, marvel, wonder, mirative		
TRUE	adjective	jyːj	juui	particle-shaped, sizeless, treatable as a point with a location	particle, point		
TRUE	noun (inanimate)	jyː.saː	juusaa	grater, scraper, mortar, tool for softening plant matter	grater, mortar, tool		
TRUE	conjunction (clause)	jə̃	jý	X but Y, X while in contrast Y, X and importantly contrariwise Y (simultaneously or without defined order)	but, and		
TRUE	noun (inanimate)	jə̃.ci	jýci	year, an orbit of the Nomai homeworld around its sun	year, orbit		
TRUE	noun (inanimate)	jə̃ɬ.ɕẽɸ	jýhlxéf	viewport, windscreen, front window (of shuttle or vessel)	window, windscreen, viewport, port		
TRUE	verb (transitive)	jə̃j.pa	jýipa	dig, excavate, mine (absolutive argument is material in which holes are made)	dig, excavate, mine		
TRUE	noun (inanimate)	jə̃j.pa.cãwɾ	jýipacáur	mine, mining site	mine, mining site		
TRUE	noun (inanimate)	jə.ɾø̃	jyró	surface (visible layer of solid object as opposed to liquid or gas), terrain (as scanned from afar)	surface, terrain		
TRUE	interjection	jə.sa	jysa	yay! woo! hooray! (versatile exclamation of joy, eroded from the same origin that yielded lle 'discover')	yay, woo, hooray		
TRUE	verb (transitive)	jə̃ː	jýy	groom, brush, style, comb (mane or similar)	groom, brush, style, comb		
TRUE	noun (inanimate)	jəːɕ	jyyx	leaf	leaf		
TRUE	adverb	la	la	maybe, perhaps, possibly, used to weaken a truth claim	maybe, perhaps, possibly		
TRUE	noun (animate)	lã	lá	child, young individual	child		
TRUE	verb (transitive)	laː.l	laal	study, examine, inspect	study, examine, inspect		
TRUE	noun (inanimate)	laːleɾ	laaler	glass, transparent construction material (usually custom-grown silicate crystals)	glass		
TRUE	noun (inanimate)	laː.ʎe.ɕə	laallexy	solvent, cleaning agent, soap, shampoo, detergent (usually dry and powdery)	solvent, soap, shampoo, detergent		
TRUE	verb (transitive)	laːs.wej	laaswei	summarise, conclude, make simplification about	summarise, conclude		
TRUE	verb (intransitive)	la‍ɬ‍	la‍hl‍	need to digest, feel the urge to chew the cud, feel full	digest, cud, full	body, sensations	
TRUE	noun (animate)	la.laj	lalai	grandmother (mother's mother)	grandmother		
TRUE	verb (transitive)	lã.nə̃ː	lánýy	design, draft, plan, create (intellectually)	design, draft, plan, create		
TRUE	noun (inanimate)	la.si	lasi	window-hatch	window, hatch, window-hatch		
TRUE	adjective	law.my	laumu	long, elongated, stretched-shape, high-aspect-ratio	long, elongated		
TRUE	noun (inanimate)	lãɕ	láx	substance, matter, stuff, resource	substance, matter, stuff, resource		
TRUE	noun (inanimate)	le	le	the phoneme /l/ and the matching letter	/l/, l	letters	
TRUE	verb (transitive)	le.cy	lecu	simplify, strip down, condense	simplify, condense		
TRUE	adverb	leːɸ	leef	somewhat, quite, to some extent, moderately	somewhat, quite, to some extent, moderately		
TRUE	noun (inanimate)	leːl.ɕə	leelxy	spectrum, any model where one axis represents the rate of a periodic process and another represents some kind of intensity; chromatic aberration, rainbow	spectrum, rainbow		
TRUE	noun (animate)	lẽːs	lées	chief, clan head, vessel captain	chief, chieftain, head, captain, leader		
TRUE	adjective	lẽɸ.ɕe	léfxe	incompletely optimised, half-done, tentative, sloppy	incomplete, half, half-done, tentative, sloppy		
TRUE	adjective	lẽɬ.ɾyː	léhlruu	withering, struggling, ailing, in bad health	withering, struggling, ailing, health		
TRUE	noun (inanimate)	le.həɬ	lehyhl	kit, set, selection (of tools or the like)	kit, set, selection		
TRUE	noun (inanimate)	lẽ.jø	léjo	succulent (plant), type of thick-leafed groundcover from arid regions; (Outer Wilds system) cactus	succulent, cactus		
TRUE	verb (transitive)	le.lø̃j	lelói	unfold, expand, stretch out (of door/hatch: close)	unfold, unfurl, expand, stretch, stretch out, close		
TRUE	adjective	le.lø̃.jəɾ	lelójyr	(problem, situation, thought) tough, puzzling, headache-inducing, which makes a Nomai spread their ears to think hard	tough, puzzling, headache		
TRUE	adverb	le.meːɾ	lemeer	instantly, immediately, without a task-switch in between	instantly, immediately		
TRUE	verb (intransitive)	lẽ.ɾas	léras	be intact, be whole, be unharmed	intact, whole, unharmed		
TRUE	noun (inanimate)	lẽw	léu	top of the soil, consisting of compressed dead plants, (name) Thatch	thatch	names, plants	
TRUE	noun (inanimate)	le.waj	lewai	water, H2O regardless of phase, hot or cold, standing or flowing; prototype: liquid and cold	water		water
TRUE	verb (transitive)	leɕ	lex	hold, wield, use as tool	hold, wield, use		
TRUE	noun (inanimate)	li.cas	licas	hindgut, second of two stomach chambers	hindgut, stomach		
TRUE	adjective	liɸ	lif	soft, flexible, bendy, rubbery, squishy	soft, flexible, bendy, rubbery, squishy		
TRUE	noun (inanimate)	li.ʙãːw	liváau	gut, intestine	gut, intestine		
TRUE	noun (inanimate)	ʎã	llá	staff, cane, also a form of common Nomai multitool	staff, cane		
TRUE	noun (inanimate)	ʎaː	llaa	the phoneme /ʎ/ and the matching letter	/ʎ/, ʎ, ll	letters	
TRUE	noun (inanimate)	ʎãː.dɾəː	lláadryy	ice, snow, solid form of something that usually isn't	ice, snow		
TRUE	noun (animate)	ʎaːj	llaai	envoy, representative, messenger	envoy, representative, messenger		
TRUE	verb (transitive)	ʎã.be	llábe	feed; refill, resupply	feed, refill, resupply		
TRUE	verb (transitive)	ʎãɸ	lláf	scan, probe, inspect using active and/or invasive methods	scan, probe, inspect		
TRUE	noun (inanimate)	ʎal.ɕẽj	llalxéi	fat, grease, blubber (on a body, anatomy term)	fat, grease, blubber		
TRUE	noun (inanimate)	ʎa.myʎ.hø̃ː	llamullhóo	tray, movable shelf	tray, shelf		
TRUE	verb (intransitive)	ʎaɾ	llar	have sex, mate, breed	sex, have sex, mate, breed		
TRUE	noun (animate)	ʎa.wa	llawa	probe, drone, mobile sensor; (archaic) scout, spotter, forerunner	probe, drone, sensor, scout, spotter, forerunner		
TRUE	noun (inanimate)	ʎaɕ.ceː	llaxcee	foregut, first of two stomach chambers	foregut, stomach		
TRUE	verb (transitive)	ʎe	lle	find, discover, encounter; meet (someone) for the first time	find, discover, encounter, meet		
TRUE	verb (transitive)	ʎẽ.ca	lléca	measured by metric of {observer}, {experiencer} is optimal under constraint of {agent}	optimal, optimise, optimize, peak, metric		
TRUE	noun (inanimate)	ʎe.cø̃s	llecós	any of a family of intensely coloured reddish or magenta flowers; (name) Phlox	phlox	names, plants	
TRUE	noun (animate)	ʎe.cy	llecu	adult, Nomai at reproductive age and mental prime	adult		
TRUE	verb (transitive)	ʎeːʎ.hy	lleellhu	make amends to, make right with	amend, amends, compensate, make amends, make right, repair, recompense		
TRUE	verb (transitive)	ʎeː.teɸ	lleetef	impair, intoxicate, make dizzy, make high	impair, intoxicate, dizzy, make dizzy, high, make high		
TRUE	noun (inanimate)	ʎẽ.my	llému	lever, toggle switch, binary input mechanism 	lever, switch		
TRUE	noun (animate)	ʎeɾil	lleril	background support, logistics-person, inventory-keeper, someone who runs things so others can do science	background support, logistics-person, inventory-keeper		
